subject_id,cluster_0,cluster_1
GaPt03,0.39642171237410795,0.603578287625892
GaPt04,0.395301894048362,0.6046981059516381
GaPt05,0.4808759204214408,0.5191240795785592
GaPt06,0.5148294056567779,0.48517059434322213
GaPt07,0.3965043173915348,0.6034956826084652
GaPt08,0.7308205905108756,0.26917940948912444
GaPt09,0.37934145952396625,0.6206585404760337
GaPt12,0.5252327441760063,0.4747672558239937
GaPt13,0.3885681602808363,0.6114318397191637
GaPt14,0.4299188053252899,0.5700811946747101
GaPt15,0.34213284578492303,0.657867154215077
GaPt16,0.49798078435792725,0.5020192156420727
GaPt17,0.3131561827390409,0.6868438172609591
GaPt18,0.3441456399381401,0.6558543600618598
GaPt19,0.3074659214561228,0.6925340785438773
GaPt20,0.3810491963937941,0.6189508036062059
GaPt21,0.6992821866198549,0.30071781338014514
GaPt22,0.8254630835869394,0.17453691641306057
GaPt23,0.4466659724073598,0.5533340275926402
GaPt24,0.3803648596343431,0.6196351403656569
GaPt25,0.3586133752179042,0.6413866247820958
GaPt26,0.39460169586748717,0.6053983041325128
GaPt27,0.6538033303711214,0.34619666962887863
GaPt28,0.48636395389338144,0.5136360461066185
GaPt29,0.5414821427602889,0.4585178572397111
GaPt30,0.49549429002439105,0.504505709975609
GaPt31,0.30918105135539226,0.6908189486446078
GaPt32,0.8187794897123699,0.18122051028763023
GaPt33,0.4868752132568947,0.5131247867431052
JuPt01,0.5318843773516284,0.46811562264837164
JuPt02,0.5094475184778589,0.4905524815221412
JuPt03,0.553744162965302,0.44625583703469807
JuPt04,0.34339610312886937,0.6566038968711306
JuPt05,0.5902329844661324,0.4097670155338677
JuPt06,0.3569955943926273,0.6430044056073728
JuPt07,0.8079140919025554,0.19208590809744466
JuPt08,0.7334940386935817,0.2665059613064183
JuPt09,0.34541993298577156,0.6545800670142284
JuPt10,0.5255728390527785,0.4744271609472214
JuPt11,0.2736641415605743,0.7263358584394257
JuPt12,0.3689347847199284,0.6310652152800716
JuPt13,0.37361186508069155,0.6263881349193086
JuPt14,0.6951235771211333,0.30487642287886674
JuPt15,0.8252615519460206,0.17473844805397934
JuPt16,0.46168097196112295,0.538319028038877
JuPt17,0.41931366635621375,0.5806863336437863
JuPt18,0.36413686863651784,0.6358631313634822
JuPt19,0.39682332847572155,0.6031766715242785
JuPt20,0.871757955563399,0.12824204443660092
JuPt21,0.3845610480951169,0.6154389519048832
JuPt22,0.6377087996534353,0.3622912003465647
JuPt23,0.5334049101524049,0.4665950898475951
JuPt24,0.4232433945661284,0.5767566054338715
JuPt25,0.6523533556092612,0.3476466443907388
JuPt26,0.6716672062926266,0.3283327937073734
JuPt27,0.33308068943018226,0.6669193105698177
JuPt28,0.33095173634721897,0.6690482636527811
JuPt29,0.420988085434875,0.5790119145651249
SiPt02,0.7070021430424707,0.29299785695752933
SiPt04,0.5868768062557316,0.4131231937442685
SiPt05,0.4502884504508092,0.5497115495491908
SiPt07,0.4626250288980653,0.5373749711019348
SiPt08,0.3927810202698779,0.6072189797301222
SiPt09,0.7589193429954295,0.2410806570045705
SiPt10,0.6147716050398275,0.38522839496017247
SiPt12,0.4144487426205214,0.5855512573794786
SiPt13,0.5427109948075577,0.4572890051924423
SiPt14,0.654974728872075,0.3450252711279249
SiPt15,0.40124094584596004,0.59875905415404
SiPt16,0.8391360994060539,0.1608639005939461
SiPt17,0.7736756445844672,0.2263243554155328
SiPt18,0.4870608214288652,0.5129391785711349
SiPt19,0.5314392429698778,0.4685607570301221
SiPt20,0.4426332349535985,0.5573667650464015
SiPt21,0.6378254284886596,0.36217457151134025
SiPt22,0.5704102983158094,0.42958970168419064
SiPt23,0.5572525285165885,0.4427474714834115
SiPt24,0.4462772151026103,0.5537227848973897
SiPt25,0.8796404096054445,0.12035959039455547
SiPt27,0.6300228156672188,0.36997718433278104
SiPt28,0.6205905989019892,0.37940940109801075
SiPt29,0.39024882035768454,0.6097511796423154
SiPt30,0.5666032219254805,0.4333967780745194
SiPt31,0.38944710735753973,0.6105528926424602
SiPt32,0.8055576208154549,0.19444237918454518
SiPt33,0.7888586092078317,0.21114139079216834
SiPt34,0.5097236818846355,0.49027631811536454
SiPt35,0.8460977211883507,0.15390227881164933
SiPt36,0.41461573893127324,0.5853842610687267
SiPt37,0.30711121736931385,0.6928887826306862
SiPt38,0.7923170825433274,0.20768291745667256
SiPt39,0.3942013199416535,0.6057986800583465
SiPt40,0.523908428370734,0.4760915716292659
GaCo01,0.653524206928592,0.34647579307140797
GaCo02,0.38831804582632556,0.6116819541736744
GaCo03,0.46289609986396946,0.5371039001360306
GaCo04,0.7738038000719418,0.22619619992805823
GaCo05,0.3579626288464323,0.6420373711535677
GaCo06,0.7264731400200791,0.27352685997992077
GaCo07,0.38067264858478733,0.6193273514152127
GaCo08,0.6732296168571478,0.3267703831428522
GaCo09,0.5653207988835303,0.43467920111646974
GaCo10,0.8011169525869523,0.19888304741304766
GaCo11,0.8426693546697965,0.15733064533020352
GaCo12,0.5118444829516128,0.4881555170483872
GaCo13,0.8337736141357346,0.1662263858642653
GaCo14,0.4781627746715315,0.5218372253284684
GaCo15,0.6144390679497158,0.38556093205028424
GaCo16,0.5962121838658245,0.4037878161341755
GaCo17,0.7044679533101822,0.2955320466898178
GaCo22,0.5532916565100956,0.44670834348990435
JuCo01,0.6586816124604696,0.34131838753953037
JuCo02,0.7622821910880027,0.23771780891199734
JuCo03,0.4425672017615426,0.5574327982384574
JuCo04,0.646638569681902,0.35336143031809786
JuCo05,0.6446630487156708,0.35533695128432913
JuCo06,0.6440620433555984,0.35593795664440164
JuCo07,0.509595612237047,0.49040438776295303
JuCo08,0.2799410392994979,0.7200589607005021
JuCo09,0.46772542404443757,0.5322745759555625
JuCo11,0.8136664152922002,0.1863335847077997
JuCo12,0.828650034659887,0.171349965340113
JuCo13,0.8539252472332084,0.14607475276679152
JuCo14,0.8247258251926769,0.17527417480732316
JuCo15,0.750897753550153,0.24910224644984708
JuCo16,0.5981344988036467,0.4018655011963533
JuCo17,0.8045955387507415,0.1954044612492585
JuCo18,0.530937592255863,0.46906240774413704
JuCo19,0.8625776110299854,0.13742238897001466
JuCo20,0.45448054608941924,0.5455194539105808
JuCo21,0.5430941835817866,0.4569058164182133
JuCo22,0.6592631250160189,0.3407368749839811
JuCo23,0.5011651822385552,0.4988348177614447
JuCo24,0.5460393536216399,0.4539606463783601
JuCo25,0.7088926777469133,0.29110732225308666
JuCo26,0.5318843773516284,0.46811562264837164
SiCo01,0.8221991544771665,0.17780084552283357
SiCo03,0.7444183493143025,0.2555816506856975
SiCo04,0.5860403478378571,0.413959652162143
SiCo05,0.715862877597368,0.2841371224026321
SiCo06,0.7830350528723145,0.2169649471276857
SiCo07,0.6957522164411494,0.30424778355885057
SiCo08,0.8868094055755051,0.11319059442449485
SiCo09,0.757677848270267,0.24232215172973307
SiCo10,0.7621000794374033,0.23789992056259668
SiCo11,0.8183045373139322,0.18169546268606793
SiCo12,0.6893016309325396,0.31069836906746046
SiCo13,0.8334535889233124,0.1665464110766875
SiCo14,0.6694992703916225,0.3305007296083775
SiCo15,0.8022085095100557,0.19779149048994438
SiCo16,0.7416320967290477,0.2583679032709522
SiCo17,0.8157380033740728,0.1842619966259273
SiCo18,0.740185684247045,0.25981431575295505
SiCo19,0.786391727090091,0.21360827290990894
SiCo20,0.7409574661685614,0.25904253383143855
SiCo21,0.7563802053179568,0.24361979468204317
SiCo22,0.8208703007800481,0.1791296992199518
SiCo23,0.7629569821947599,0.23704301780523998
SiCo24,0.8243277027703613,0.17567229722963867
SiCo25,0.8046930210326618,0.19530697896733812
SiCo26,0.7881773101456102,0.21182268985438982
SiCo27,0.7537035440389174,0.24629645596108254
SiCo28,0.7370978615828367,0.2629021384171633
SiCo29,0.8163070997698464,0.1836929002301535
SiCo30,0.7958745635434631,0.20412543645653689
